8400,10165,9482,8041,7939,7608,8304,8485,7278,7427,-4
10165,9482,8041,7939,7608,8304,8485,7278,7427,7556,1
9482,8041,7939,7608,8304,8485,7278,7427,7556,7763,1
8041,7939,7608,8304,8485,7278,7427,7556,7763,6995,1
7939,7608,8304,8485,7278,7427,7556,7763,6995,6593,-2
7608,8304,8485,7278,7427,7556,7763,6995,6593,6766,-1
8304,8485,7278,7427,7556,7763,6995,6593,6766,6486,1
8485,7278,7427,7556,7763,6995,6593,6766,6486,6120,0
7278,7427,7556,7763,6995,6593,6766,6486,6120,6536,-1
7427,7556,7763,6995,6593,6766,6486,6120,6536,5462,2
7556,7763,6995,6593,6766,6486,6120,6536,5462,5906,-3
7763,6995,6593,6766,6486,6120,6536,5462,5906,7147,2
6995,6593,6766,6486,6120,6536,5462,5906,7147,6074,5
6593,6766,6486,6120,6536,5462,5906,7147,6074,6038,-3
6766,6486,6120,6536,5462,5906,7147,6074,6038,5596,0
6486,6120,6536,5462,5906,7147,6074,6038,5596,4529,-1
6120,6536,5462,5906,7147,6074,6038,5596,4529,5149,-3
6536,5462,5906,7147,6074,6038,5596,4529,5149,6640,3
5462,5906,7147,6074,6038,5596,4529,5149,6640,7593,5
5906,7147,6074,6038,5596,4529,5149,6640,7593,6264,4
7147,6074,6038,5596,4529,5149,6640,7593,6264,6091,-4
6074,6038,5596,4529,5149,6640,7593,6264,6091,6504,0
6038,5596,4529,5149,6640,7593,6264,6091,6504,6909,2
5596,4529,5149,6640,7593,6264,6091,6504,6909,7803,2
4529,5149,6640,7593,6264,6091,6504,6909,7803,6562,3
5149,6640,7593,6264,6091,6504,6909,7803,6562,5600,-4
6640,7593,6264,6091,6504,6909,7803,6562,5600,6091,-3
7593,6264,6091,6504,6909,7803,6562,5600,6091,5959,2
6264,6091,6504,6909,7803,6562,5600,6091,5959,6379,0
6091,6504,6909,7803,6562,5600,6091,5959,6379,5898,2
6504,6909,7803,6562,5600,6091,5959,6379,5898,6676,-1
6909,7803,6562,5600,6091,5959,6379,5898,6676,6058,3
7803,6562,5600,6091,5959,6379,5898,6676,6058,5301,-2
6562,5600,6091,5959,6379,5898,6676,6058,5301,4311,-2
5600,6091,5959,6379,5898,6676,6058,5301,4311,4352,-3
6091,5959,6379,5898,6676,6058,5301,4311,4352,4004,1
5959,6379,5898,6676,6058,5301,4311,4352,4004,4823,-1
6379,5898,6676,6058,5301,4311,4352,4004,4823,5664,3
5898,6676,6058,5301,4311,4352,4004,4823,5664,5291,3
6676,6058,5301,4311,4352,4004,4823,5664,5291,5017,-1
6058,5301,4311,4352,4004,4823,5664,5291,5017,5778,0
5301,4311,4352,4004,4823,5664,5291,5017,5778,4107,3
4311,4352,4004,4823,5664,5291,5017,5778,4107,3872,-5
4352,4004,4823,5664,5291,5017,5778,4107,3872,5120,0
4004,4823,5664,5291,5017,5778,4107,3872,5120,5862,5
4823,5664,5291,5017,5778,4107,3872,5120,5862,4861,3
5664,5291,5017,5778,4107,3872,5120,5862,4861,5173,-3
5291,5017,5778,4107,3872,5120,5862,4861,5173,5614,2
5017,5778,4107,3872,5120,5862,4861,5173,5614,4019,2
5778,4107,3872,5120,5862,4861,5173,5614,4019,6558,-5
4107,3872,5120,5862,4861,5173,5614,4019,6558,4443,5
3872,5120,5862,4861,5173,5614,4019,6558,4443,3980,-5
5120,5862,4861,5173,5614,4019,6558,4443,3980,4884,-1
5862,4861,5173,5614,4019,6558,4443,3980,4884,7562,4
4861,5173,5614,4019,6558,4443,3980,4884,7562,6978,5
5173,5614,4019,6558,4443,3980,4884,7562,6978,7453,-1
5614,4019,6558,4443,3980,4884,7562,6978,7453,7683,2
4019,6558,4443,3980,4884,7562,6978,7453,7683,8347,1
6558,4443,3980,4884,7562,6978,7453,7683,8347,7850,3
4443,3980,4884,7562,6978,7453,7683,8347,7850,7069,-1
3980,4884,7562,6978,7453,7683,8347,7850,7069,7506,-2
4884,7562,6978,7453,7683,8347,7850,7069,7506,7800,2
7562,6978,7453,7683,8347,7850,7069,7506,7800,8417,1
6978,7453,7683,8347,7850,7069,7506,7800,8417,8109,3
7453,7683,8347,7850,7069,7506,7800,8417,8109,7417,-1
7683,8347,7850,7069,7506,7800,8417,8109,7417,8318,-2
8347,7850,7069,7506,7800,8417,8109,7417,8318,6942,4
7850,7069,7506,7800,8417,8109,7417,8318,6942,7089,-4
7069,7506,7800,8417,8109,7417,8318,6942,7089,6422,1
7506,7800,8417,8109,7417,8318,6942,7089,6422,7878,-2
7800,8417,8109,7417,8318,6942,7089,6422,7878,8026,5
8417,8109,7417,8318,6942,7089,6422,7878,8026,7408,1
