280,339,10
339,317,-10
317,269,-10
269,265,-10
265,254,10
254,277,10
277,283,-10
283,243,-10
243,248,9
248,252,10
252,259,-10
259,234,-10
234,220,-8
220,226,-3
226,217,-10
217,204,1
204,218,-10
218,183,-10
183,197,10
197,239,6
239,203,-10
203,202,-10
202,187,-10
187,151,-10
151,172,10
172,222,10
222,254,-10
254,209,-10
209,204,8
204,217,10
217,231,10
231,261,-10
261,219,-10
219,187,-10
187,204,10
204,199,9
199,213,-2
213,197,10
197,223,5
223,202,-10
202,177,-10
177,144,-10
144,146,-10
146,134,10
134,161,10
161,189,10
189,177,-10
177,168,10
168,193,-10
193,137,-10
137,130,10
130,171,10
171,196,-8
196,163,-10
163,173,10
173,188,-10
188,134,10
134,219,10
219,149,-10
149,133,10
133,163,10
163,253,10
253,233,-4
233,249,10
249,257,10
257,279,5
279,262,-10
262,236,-10
236,251,10
251,260,10
260,281,10
281,271,-10
271,248,7
248,278,-10
278,232,-10
232,237,-10
237,215,10
215,263,10
263,268,-10
268,247,-10
247,249,10
249,286,10
286,272,10
272,324,10
324,355,-10
355,304,10
304,369,10
369,333,-10
333,332,10
332,346,10
346,363,-10
363,318,-10
318,321,10
321,372,-2
372,319,-7
319,365,10
365,393,10
393,406,10
406,408,10
408,433,7
433,415,-10
415,403,0
403,415,10
415,418,-10
418,398,-10
398,406,-9
406,389,-5
389,401,10
401,461,10
461,411,10
411,472,10
472,467,-10
467,439,-10
439,385,-10
385,355,5
355,390,10
390,448,-9
448,381,-10
381,335,-10
335,353,10
353,442,10
442,425,-10
425,405,-10
405,325,-10
325,347,10
347,349,-10
349,317,-1
317,348,10
348,394,-9
394,339,-10
339,340,-10
340,320,-10
320,307,-10
307,267,-10
267,271,10
271,319,10
319,374,-10
374,298,-10
298,246,-10
246,233,-10
233,192,-10
192,178,-10
178,157,-10
157,152,-10
152,141,10
141,236,10
236,177,-10
177,199,-10
199,163,-10
163,173,10
173,192,10
192,197,-10
197,148,-10
148,159,10
159,171,-10
171,146,-10
146,159,9
159,155,-1
155,158,-7
158,148,-9
148,149,10
149,162,10
162,162,10
162,172,1
172,163,-10
163,155,-5
155,158,2
158,157,-7
157,151,-10
151,141,7
141,158,10
158,172,10
172,172,-10
172,138,-10
138,156,10
156,148,-2
148,154,-4
154,144,-10
144,139,1
139,145,10
145,167,10
167,160,-10
160,134,-10
134,147,-10
147,101,-10
101,130,6
130,107,-10
107,107,9
107,116,10
116,129,10
129,136,10
136,140,-4
140,132,-10
132,78,1
78,133,10
133,123,-10
123,112,10
112,139,10
139,145,-10
145,122,-10
122,106,-10
106,86,10
86,130,10
130,146,4
146,134,0
134,146,-10
146,121,-10
121,116,10
116,169,10
169,165,-10
165,159,5
159,170,-10
170,138,-10
138,123,10
123,155,10
155,158,-10
158,136,-10
136,134,-10
134,125,10
125,163,10
163,168,-10
168,149,-9
149,159,-10
159,139,-10
139,144,10
144,160,9
160,153,-2
153,158,10
158,181,7
181,165,-10
165,153,-10
153,153,1
153,154,10
154,165,10
165,211,10
211,220,-10
220,185,7
185,227,10
227,205,-10
205,175,-5
175,200,10
200,269,10
269,249,-10
249,257,-10
257,229,-10
229,177,-10
177,167,10
167,232,10
232,192,-10
192,211,10
211,243,5
243,216,-6
216,237,10
237,315,-10
315,215,-10
215,231,10
231,232,4
232,235,10
235,268,-10
268,204,-2
204,266,2
266,206,-10
206,202,10
202,234,10
234,275,-5
275,229,10
229,293,10
293,262,-10
262,266,7
266,269,-10
269,250,-10
250,211,-10
211,238,10
238,232,9
232,247,4
247,236,-10
236,197,-10
197,167,10
167,216,10
216,199,10
199,229,-10
229,186,-10
186,185,-10
185,168,-10
168,171,-2
171,166,-10
166,150,10
150,211,10
211,165,-10
165,152,-10
152,155,0
155,152,10
152,168,2
168,154,10
154,178,4
178,158,-10
158,161,-10
161,135,-10
135,151,-2
151,133,10
133,163,10
163,153,-10
153,147,0
147,153,-2
153,145,10
145,165,-10
165,135,-1
135,164,10
164,166,6
166,170,-10
170,149,-10
149,154,-10
154,122,-8
122,146,10
146,163,-6
163,140,6
140,169,10
169,168,-10
168,144,-4
144,164,10
164,164,-10
164,149,-10
149,143,-7
143,142,-3
142,140,10
140,161,10
161,151,-9
151,152,10
152,171,-4
171,148,-10
148,135,3
135,151,-10
151,81,-10
81,129,10
129,145,10
145,148,-10
148,124,-10
124,123,1
123,125,-7
125,116,10
116,147,-10
147,76,-10
76,123,1
123,77,10
77,144,10
144,133,3
133,147,10
147,145,-10
145,133,-9
133,136,-10
136,120,-10
120,80,10
80,159,10
159,139,-4
139,155,10
155,158,10
158,175,0
175,158,-10
158,145,4
145,162,10
162,157,4
157,166,3
166,160,2
160,168,10
168,184,2
184,170,-10
170,157,-10
157,149,7
149,164,10
164,181,-8
181,156,0
156,181,10
181,170,-10
170,131,-10
131,159,10
159,190,10
190,177,-10
177,173,-10
173,166,-2
166,171,10
171,202,10
202,203,4
203,206,10
206,225,2
225,208,-10
208,204,4
204,212,1
212,205,1
205,213,-10
213,173,10
173,255,10
255,238,-10
238,208,10
208,304,10
304,280,-10
280,248,10
248,292,10
292,284,-10
284,275,-5
275,279,-9
279,266,-10
266,261,-10
261,192,-10
192,221,10
221,217,-7
217,214,7
214,224,10
224,302,10
302,255,-10
255,224,-10
224,203,-6
203,218,10
218,225,-5
225,213,-10
213,189,10
189,288,10
288,248,-10
248,225,-10
225,194,-10
194,202,10
202,238,10
238,219,-10
219,203,-10
203,180,-10
180,187,10
187,195,-10
195,172,-10
172,182,5
182,177,-10
177,169,10
169,187,5
187,174,-10
174,169,-10
169,162,8
162,177,10
177,178,-10
178,158,-6
158,172,10
172,173,-7
173,165,9
165,182,-10
182,149,-10
149,165,10
165,176,-1
176,164,7
164,183,9
183,173,-10
173,170,10
170,190,-10
190,149,-10
149,169,10
169,162,4
162,173,10
173,176,10
176,201,-9
201,167,-5
167,196,-4
196,163,-7
163,189,4
189,167,-10
167,172,4
172,171,10
171,188,10
188,215,-5
215,183,-10
183,177,-5
177,178,-10
178,157,-10
157,144,-10
144,147,-5
147,139,10
139,174,10
174,171,-10
171,154,-5
154,166,10
166,168,-1
168,165,3
165,171,-5
171,160,5
160,176,10
176,183,10
183,186,10
186,196,-8
196,178,10
178,231,10
231,233,-10
233,216,-10
216,217,-8
217,208,10
208,238,10
238,241,10
241,286,10
286,289,7
289,293,10
293,304,10
304,328,-7
328,297,-10
297,243,-10
243,265,4
265,247,-10
247,250,10
250,298,10
298,265,-10
265,275,10
275,322,10
322,319,-10
319,304,-10
304,273,-10
273,266,10
266,325,10
325,330,10
330,339,-7
339,323,-10
323,290,-4
290,319,10
319,355,10
355,351,-3
351,352,10
352,401,-4
401,348,-10
348,371,10
371,414,10
414,399,10
399,443,10
443,423,-1
423,442,10
442,439,-10
439,381,10
381,463,10
463,429,10
429,499,10
499,452,-10
452,419,-10
419,422,10
422,438,10
438,442,7
442,445,-10
445,402,10
402,455,10
455,451,10
451,466,10
466,501,10
501,510,-10
510,485,-10
485,418,10
418,496,-10
496,391,-10
391,456,10
456,466,-10
466,418,-10
418,444,10
444,434,10
434,462,-10
462,394,-10
394,406,10
406,450,10
450,462,-10
462,413,-10
413,329,-10
329,376,10
376,366,-10
366,335,5
335,371,10
371,368,-10
368,336,10
336,396,4
396,340,-10
340,341,10
341,358,-10
358,324,2
324,360,0
360,324,-10
324,331,10
331,339,-10
339,307,-10
307,313,3
313,310,-10
310,298,-10
298,294,10
294,314,10
314,323,-10
323,288,-10
288,219,-10
219,268,10
268,243,-10
243,232,-10
232,222,-10
222,222,10
222,243,10
243,252,10
252,280,10
280,268,-10
268,232,-10
232,237,10
237,266,7
266,244,10
244,278,-10
278,208,-10
208,183,-10
183,192,10
192,194,10
194,214,-5
214,189,-10
189,182,10
182,204,9
204,191,10
191,228,-10
228,173,-10
173,163,-10
163,163,2
163,165,-10
165,150,10
150,178,10
178,171,-10
171,145,-1
145,170,10
170,158,-10
158,148,8
148,166,10
166,162,6
162,172,8
172,170,4
170,176,10
176,197,10
197,188,10
188,213,-4
213,184,-6
184,207,10
207,251,-10
251,177,-10
177,192,10
192,217,10
217,267,10
267,293,10
293,287,10
287,321,10
321,325,2
325,323,-10
323,293,6
293,329,10
329,333,-5
333,324,10
324,361,10
361,344,10
344,374,10
374,377,-10
377,363,-10
363,344,7
344,370,2
370,346,-9
346,361,4
361,350,-7
350,354,10
354,387,-10
387,344,10
344,401,10
401,473,10
473,415,-10
415,388,-10
388,388,10
388,496,3
496,391,3
391,499,10
499,472,10
472,510,10
510,535,10
535,538,-10
538,504,-10
504,502,10
502,604,10
604,560,-10
560,549,-10
549,538,-10
538,521,10
521,593,10
593,549,-10
549,506,-10
506,482,10
482,628,10
628,630,-10
630,502,-10
502,591,10
591,595,-10
595,512,-10
512,570,10
570,531,1
531,571,10
571,577,-10
577,561,-10
561,548,-10
548,523,-10
523,503,-10
503,504,-4
504,499,-10
499,454,10
454,512,10
512,522,10
522,529,10
529,561,10
561,554,-6
554,555,-10
555,510,-10
510,463,10
463,525,10
525,486,-10
486,431,-10
431,471,10
471,489,-5
489,466,-10
466,459,-3
459,463,-10
463,364,-10
364,260,-10
260,40,-10
40,44,10
44,221,10
221,339,10
339,411,10
